image_path,item_id,split,clothing_type,clothing_label,x1,y1,x2,y2
img/WOMEN/Blouses_Shirts/id_00000001/02_1_front.jpg,id_00000001,gallery,1,upper,50,49,208,235
img/WOMEN/Blouses_Shirts/id_00000001/02_3_back.jpg,id_00000001,gallery,1,upper,50,42,213,240
img/WOMEN/Tees_Tanks/id_00000007/01_1_front.jpg,id_00000007,gallery,1,upper,66,67,205,256
img/WOMEN/Tees_Tanks/id_00000007/01_3_back.jpg,id_00000007,gallery,1,upper,72,40,168,220
img/WOMEN/Dresses/id_00000008/02_3_back.jpg,id_00000008,gallery,3,full,73,42,186,243
img/WOMEN/Dresses/id_00000011/02_1_front.jpg,id_00000011,gallery,3,full,91,33,150,226
img/WOMEN/Tees_Tanks/id_00000012/02_1_front.jpg,id_00000012,gallery,1,upper,83,59,174,157
img/WOMEN/Tees_Tanks/id_00000012/02_2_side.jpg,id_00000012,gallery,1,upper,77,56,141,161
img/WOMEN/Blouses_Shirts/id_00000015/02_2_side.jpg,id_00000015,gallery,1,upper,102,51,131,173
img/WOMEN/Blouses_Shirts/id_00000015/02_4_full.jpg,id_00000015,gallery,1,upper,105,36,167,106
img/MEN/Sweaters/id_00000016/01_1_front.jpg,id_00000016,gallery,1,upper,22,46,190,252
img/MEN/Sweaters/id_00000016/01_3_back.jpg,id_00000016,gallery,1,upper,62,34,235,239
img/WOMEN/Tees_Tanks/id_00000017/01_1_front.jpg,id_00000017,gallery,1,upper,71,59,193,209
img/WOMEN/Tees_Tanks/id_00000017/01_2_side.jpg,id_00000017,gallery,1,upper,86,4,153,239
img/WOMEN/Tees_Tanks/id_00000017/02_1_front.jpg,id_00000017,gallery,1,upper,71,41,193,209
img/WOMEN/Tees_Tanks/id_00000017/02_3_back.jpg,id_00000017,gallery,1,upper,57,33,224,252
img/WOMEN/Graphic_Tees/id_00000019/01_1_front.jpg,id_00000019,gallery,1,upper,80,50,201,233
img/WOMEN/Graphic_Tees/id_00000019/01_4_full.jpg,id_00000019,gallery,1,upper,95,41,160,125
img/WOMEN/Dresses/id_00000021/04_1_front.jpg,id_00000021,gallery,3,full,83,30,167,256
img/WOMEN/Dresses/id_00000021/04_7_additional.jpg,id_00000021,gallery,3,full,1,38,256,256
img/WOMEN/Dresses/id_00000021/05_1_front.jpg,id_00000021,gallery,3,full,90,30,179,256
img/WOMEN/Dresses/id_00000021/05_2_side.jpg,id_00000021,gallery,3,full,112,23,142,256
img/WOMEN/Dresses/id_00000021/06_2_side.jpg,id_00000021,gallery,3,full,106,22,150,256
img/WOMEN/Tees_Tanks/id_00000026/05_2_side.jpg,id_00000026,gallery,1,upper,88,60,134,239
img/WOMEN/Tees_Tanks/id_00000026/05_7_additional.jpg,id_00000026,gallery,1,upper,70,35,149,131
img/WOMEN/Tees_Tanks/id_00000026/06_2_side.jpg,id_00000026,gallery,1,upper,86,48,157,237
img/WOMEN/Tees_Tanks/id_00000026/06_4_full.jpg,id_00000026,gallery,1,upper,80,35,158,133
img/WOMEN/Tees_Tanks/id_00000026/06_7_additional.jpg,id_00000026,gallery,1,upper,58,60,204,244
img/WOMEN/Tees_Tanks/id_00000026/07_3_back.jpg,id_00000026,gallery,1,upper,52,60,202,250
