image_path,item_id,split,clothing_type,x1,y1,x2,y2,clothing_label
img/WOMEN/Dresses/id_00000002/02_1_front.jpg,id_00000002,train,3,65,45,233,252,full
img/WOMEN/Dresses/id_00000002/02_2_side.jpg,id_00000002,train,3,112,41,168,247,full
img/WOMEN/Dresses/id_00000002/02_4_full.jpg,id_00000002,train,3,89,34,169,167,full
img/WOMEN/Dresses/id_00000002/02_7_additional.jpg,id_00000002,train,3,73,40,194,251,full
img/WOMEN/Skirts/id_00000003/02_1_front.jpg,id_00000003,train,2,51,122,160,210,lower
img/WOMEN/Skirts/id_00000003/02_2_side.jpg,id_00000003,train,2,121,13,131,112,lower
img/WOMEN/Skirts/id_00000003/02_3_back.jpg,id_00000003,train,2,41,30,227,180,lower
img/WOMEN/Skirts/id_00000003/02_4_full.jpg,id_00000003,train,2,116,87,201,151,lower
img/WOMEN/Skirts/id_00000003/02_7_additional.jpg,id_00000003,train,2,49,15,177,105,lower
img/WOMEN/Blouses_Shirts/id_00000004/03_1_front.jpg,id_00000004,train,1,79,29,211,168,upper
img/WOMEN/Blouses_Shirts/id_00000004/03_3_back.jpg,id_00000004,train,1,92,35,198,160,upper
img/WOMEN/Blouses_Shirts/id_00000004/03_7_additional.jpg,id_00000004,train,1,64,22,206,205,upper
img/WOMEN/Blouses_Shirts/id_00000004/05_1_front.jpg,id_00000004,train,1,43,38,192,248,upper
img/WOMEN/Blouses_Shirts/id_00000004/05_2_side.jpg,id_00000004,train,1,130,45,167,236,upper
img/WOMEN/Blouses_Shirts/id_00000004/05_7_additional.jpg,id_00000004,train,1,64,40,209,238,upper
img/WOMEN/Blouses_Shirts/id_00000005/02_1_front.jpg,id_00000005,train,1,79,45,170,239,upper
img/WOMEN/Blouses_Shirts/id_00000005/02_2_side.jpg,id_00000005,train,1,52,53,208,235,upper
img/WOMEN/Blouses_Shirts/id_00000005/02_4_full.jpg,id_00000005,train,1,87,37,176,135,upper
img/WOMEN/Blouses_Shirts/id_00000005/02_7_additional.jpg,id_00000005,train,1,45,43,235,249,upper
img/MEN/Sweatshirts_Hoodies/id_00000006/01_1_front.jpg,id_00000006,train,1,51,40,202,215,upper
img/MEN/Sweatshirts_Hoodies/id_00000006/01_2_side.jpg,id_00000006,train,1,122,48,151,230,upper
img/MEN/Sweatshirts_Hoodies/id_00000006/01_3_back.jpg,id_00000006,train,1,52,36,209,219,upper
img/MEN/Sweatshirts_Hoodies/id_00000006/01_6_flat.jpg,id_00000006,train,1,25,50,235,208,upper
img/MEN/Sweatshirts_Hoodies/id_00000006/01_7_additional.jpg,id_00000006,train,1,86,27,181,129,upper
img/MEN/Sweatshirts_Hoodies/id_00000006/02_1_front.jpg,id_00000006,train,1,60,44,209,212,upper
img/MEN/Sweatshirts_Hoodies/id_00000006/02_2_side.jpg,id_00000006,train,1,121,45,155,218,upper
img/MEN/Sweatshirts_Hoodies/id_00000006/02_3_back.jpg,id_00000006,train,1,57,34,208,214,upper
img/MEN/Sweatshirts_Hoodies/id_00000006/02_6_flat.jpg,id_00000006,train,1,28,43,234,209,upper
img/MEN/Sweatshirts_Hoodies/id_00000006/02_7_additional.jpg,id_00000006,train,1,84,27,180,135,upper
img/WOMEN/Dresses/id_00000009/02_1_front.jpg,id_00000009,train,3,73,40,204,250,full
img/WOMEN/Dresses/id_00000009/02_2_side.jpg,id_00000009,train,3,86,49,175,244,full
img/WOMEN/Dresses/id_00000009/02_3_back.jpg,id_00000009,train,3,62,35,194,250,full
img/WOMEN/Dresses/id_00000009/02_4_full.jpg,id_00000009,train,3,78,32,164,159,full
img/WOMEN/Dresses/id_00000009/02_7_additional.jpg,id_00000009,train,3,1,1,256,256,full
img/WOMEN/Cardigans/id_00000010/01_1_front.jpg,id_00000010,train,1,53,46,183,250,upper
img/WOMEN/Cardigans/id_00000010/01_2_side.jpg,id_00000010,train,1,58,43,186,249,upper
img/WOMEN/Cardigans/id_00000010/01_4_full.jpg,id_00000010,train,1,84,38,164,158,upper
img/WOMEN/Cardigans/id_00000010/01_7_additional.jpg,id_00000010,train,1,97,33,205,243,upper
img/WOMEN/Cardigans/id_00000010/02_1_front.jpg,id_00000010,train,1,68,47,199,253,upper
img/WOMEN/Cardigans/id_00000010/02_2_side.jpg,id_00000010,train,1,77,42,197,256,upper
img/WOMEN/Cardigans/id_00000010/02_7_additional.jpg,id_00000010,train,1,113,36,191,256,upper
img/WOMEN/Jackets_Coats/id_00000013/03_1_front.jpg,id_00000013,train,1,67,50,194,232,upper
img/WOMEN/Jackets_Coats/id_00000013/03_2_side.jpg,id_00000013,train,1,91,47,173,232,upper
img/WOMEN/Jackets_Coats/id_00000013/03_3_back.jpg,id_00000013,train,1,64,55,192,222,upper
img/WOMEN/Jackets_Coats/id_00000013/03_4_full.jpg,id_00000013,train,1,98,37,178,145,upper
img/WOMEN/Jackets_Coats/id_00000013/03_7_additional.jpg,id_00000013,train,1,1,45,256,256,upper
img/WOMEN/Jackets_Coats/id_00000013/05_1_front.jpg,id_00000013,train,1,59,50,187,228,upper
img/WOMEN/Jackets_Coats/id_00000013/05_2_side.jpg,id_00000013,train,1,114,54,133,226,upper
img/WOMEN/Jackets_Coats/id_00000013/05_4_full.jpg,id_00000013,train,1,92,36,172,145,upper
img/WOMEN/Jackets_Coats/id_00000013/05_7_additional.jpg,id_00000013,train,1,73,43,176,220,upper
img/WOMEN/Sweaters/id_00000014/01_1_front.jpg,id_00000014,train,1,44,38,208,184,upper
img/WOMEN/Sweaters/id_00000014/01_2_side.jpg,id_00000014,train,1,65,22,175,219,upper
img/WOMEN/Sweaters/id_00000014/01_3_back.jpg,id_00000014,train,1,50,57,199,222,upper
img/WOMEN/Sweaters/id_00000014/01_4_full.jpg,id_00000014,train,1,103,41,145,119,upper
img/WOMEN/Sweaters/id_00000018/02_1_front.jpg,id_00000018,train,1,36,47,202,218,upper
img/WOMEN/Sweaters/id_00000018/02_3_back.jpg,id_00000018,train,1,64,40,186,253,upper
img/WOMEN/Sweaters/id_00000018/02_7_additional.jpg,id_00000018,train,1,105,50,161,240,upper
img/WOMEN/Tees_Tanks/id_00000020/04_1_front.jpg,id_00000020,train,1,65,56,214,176,upper
img/WOMEN/Tees_Tanks/id_00000020/04_2_side.jpg,id_00000020,train,1,86,72,142,221,upper
img/WOMEN/Tees_Tanks/id_00000020/04_3_back.jpg,id_00000020,train,1,27,66,230,233,upper
img/WOMEN/Tees_Tanks/id_00000020/04_7_additional.jpg,id_00000020,train,1,96,43,178,106,upper
img/WOMEN/Tees_Tanks/id_00000020/05_1_front.jpg,id_00000020,train,1,69,62,207,180,upper
img/WOMEN/Tees_Tanks/id_00000020/05_2_side.jpg,id_00000020,train,1,70,59,161,171,upper
img/WOMEN/Tees_Tanks/id_00000020/05_3_back.jpg,id_00000020,train,1,45,63,225,213,upper
img/WOMEN/Tees_Tanks/id_00000020/05_7_additional.jpg,id_00000020,train,1,87,42,166,106,upper
img/WOMEN/Tees_Tanks/id_00000020/06_1_front.jpg,id_00000020,train,1,64,57,206,180,upper
