image_path,item_id,split,clothing_type,x1,y1,x2,y2,clothing_label
img/WOMEN/Blouses_Shirts/id_00000001/02_2_side.jpg,id_00000001,query,1,119,48,136,234,upper
img/WOMEN/Blouses_Shirts/id_00000001/02_4_full.jpg,id_00000001,query,1,82,30,162,129,upper
img/WOMEN/Tees_Tanks/id_00000007/01_2_side.jpg,id_00000007,query,1,97,5,185,202,upper
img/WOMEN/Tees_Tanks/id_00000007/01_4_full.jpg,id_00000007,query,1,103,33,152,118,upper
img/WOMEN/Tees_Tanks/id_00000007/01_6_flat.jpg,id_00000007,query,1,52,14,210,237,upper
img/WOMEN/Dresses/id_00000008/02_7_additional.jpg,id_00000008,query,3,88,40,154,157,full
img/WOMEN/Dresses/id_00000011/02_2_side.jpg,id_00000011,query,3,93,35,164,228,full
img/WOMEN/Dresses/id_00000011/02_3_back.jpg,id_00000011,query,3,83,26,161,233,full
img/WOMEN/Tees_Tanks/id_00000012/02_3_back.jpg,id_00000012,query,1,65,45,174,174,upper
img/WOMEN/Tees_Tanks/id_00000012/02_7_additional.jpg,id_00000012,query,1,1,1,256,256,upper
img/WOMEN/Blouses_Shirts/id_00000015/02_1_front.jpg,id_00000015,query,1,70,57,215,187,upper
img/WOMEN/Blouses_Shirts/id_00000015/02_3_back.jpg,id_00000015,query,1,51,49,200,191,upper
img/WOMEN/Blouses_Shirts/id_00000015/02_7_additional.jpg,id_00000015,query,1,15,26,221,249,upper
img/MEN/Sweaters/id_00000016/01_2_side.jpg,id_00000016,query,1,123,45,151,240,upper
img/MEN/Sweaters/id_00000016/01_6_flat.jpg,id_00000016,query,1,26,41,235,209,upper
img/MEN/Sweaters/id_00000016/01_7_additional.jpg,id_00000016,query,1,1,17,256,256,upper
img/WOMEN/Tees_Tanks/id_00000017/01_3_back.jpg,id_00000017,query,1,49,55,180,237,upper
img/WOMEN/Tees_Tanks/id_00000017/01_4_full.jpg,id_00000017,query,1,95,37,160,133,upper
img/WOMEN/Tees_Tanks/id_00000017/02_2_side.jpg,id_00000017,query,1,69,47,163,227,upper
img/WOMEN/Tees_Tanks/id_00000017/02_4_full.jpg,id_00000017,query,1,85,34,143,132,upper
img/WOMEN/Graphic_Tees/id_00000019/01_2_side.jpg,id_00000019,query,1,104,46,157,247,upper
img/WOMEN/Graphic_Tees/id_00000019/01_7_additional.jpg,id_00000019,query,1,97,43,189,229,upper
img/WOMEN/Dresses/id_00000021/04_2_side.jpg,id_00000021,query,3,116,23,154,256,full
img/WOMEN/Dresses/id_00000021/04_3_back.jpg,id_00000021,query,3,103,28,189,256,full
img/WOMEN/Dresses/id_00000021/05_7_additional.jpg,id_00000021,query,3,85,25,181,256,full
img/WOMEN/Dresses/id_00000021/06_1_front.jpg,id_00000021,query,3,85,25,170,256,full
